Year,Period,Label,Value
2001,M01,2001 Jan,6.4
2001,M02,2001 Feb,6.4
2001,M03,2001 Mar,6.7
2001,M04,2001 Apr,6.7
2001,M05,2001 May,6.3
2001,M06,2001 Jun,7.1
2001,M07,2001 Jul,6.7
2001,M08,2001 Aug,6.9
2001,M09,2001 Sep,6.6
2001,M10,2001 Oct,6.9
2001,M11,2001 Nov,7.3
2001,M12,2001 Dec,7.5
2002,M01,2002 Jan,8.8
2002,M02,2002 Feb,8.5
2002,M03,2002 Mar,8.6
2002,M04,2002 Apr,8.8
2002,M05,2002 May,8.5
2002,M06,2002 Jun,9.2
2002,M07,2002 Jul,9.1
2002,M08,2002 Aug,8.6
2002,M09,2002 Sep,8.1
2002,M10,2002 Oct,8.2
2002,M11,2002 Nov,8.3
2002,M12,2002 Dec,8.1
2003,M01,2003 Jan,8.7
2003,M02,2003 Feb,8.3
2003,M03,2003 Mar,8.2
2003,M04,2003 Apr,8
2003,M05,2003 May,8.2
2003,M06,2003 Jun,9.3
2003,M07,2003 Jul,8.8
2003,M08,2003 Aug,8.6
2003,M09,2003 Sep,8.3
2003,M10,2003 Oct,7.7
2003,M11,2003 Nov,7.6
2003,M12,2003 Dec,7.2
2004,M01,2004 Jan,8
2004,M02,2004 Feb,7.6
2004,M03,2004 Mar,7.8
2004,M04,2004 Apr,7.6
2004,M05,2004 May,7.5
2004,M06,2004 Jun,8
2004,M07,2004 Jul,7.9
2004,M08,2004 Aug,7.6
2004,M09,2004 Sep,7.3
2004,M10,2004 Oct,7.3
2004,M11,2004 Nov,7.3
2004,M12,2004 Dec,7
2005,M01,2005 Jan,7.5
2005,M02,2005 Feb,7.8
2005,M03,2005 Mar,7.2
2005,M04,2005 Apr,7.5
2005,M05,2005 May,7.4
2005,M06,2005 Jun,7.7
2005,M07,2005 Jul,7.4
2005,M08,2005 Aug,6.7
2005,M09,2005 Sep,6.9
2005,M10,2005 Oct,6.4
2005,M11,2005 Nov,6.5
2005,M12,2005 Dec,6
2006,M01,2006 Jan,6.1
2006,M02,2006 Feb,6.1
2006,M03,2006 Mar,5.5
2006,M04,2006 Apr,5.8
2006,M05,2006 May,5.3
2006,M06,2006 Jun,5.7
2006,M07,2006 Jul,5.7
2006,M08,2006 Aug,5.4
2006,M09,2006 Sep,5
2006,M10,2006 Oct,4.5
2006,M11,2006 Nov,4.7
2006,M12,2006 Dec,4.8
2007,M01,2007 Jan,5.8
2007,M02,2007 Feb,5.6
2007,M03,2007 Mar,5
2007,M04,2007 Apr,5.6
2007,M05,2007 May,5.6
2007,M06,2007 Jun,6.4
2007,M07,2007 Jul,6.4
2007,M08,2007 Aug,6
2007,M09,2007 Sep,5.8
2007,M10,2007 Oct,5.7
2007,M11,2007 Nov,5.6
