TRANSACTION_ID,TRANS_DT,STORE_ID,CUSTOMER_ID,PRODUCT_ID,DEP,SUBDEP,CAT,SUBCAT,QUANTITY,UNIT_COST,UNIT_PRICE,FEATURE
11532413,2013-10-31 00:00:00,18,2283946,3503,367,21,93,270,1,1.5545,5.99,Regular
13070192,2013-10-31 00:00:00,21,3214518,3503,367,21,93,270,1,1.5553,5.99,Regular
15569549,2013-10-31 00:00:00,24,3657169,3503,367,21,93,270,1,1.5529,5.99,Regular
16398107,2013-10-31 00:00:00,25,735109,3503,367,21,93,270,1,1.5488,5.99,Regular
18395466,2013-10-31 00:00:00,28,5626584,3503,367,21,93,270,1,1.5545,5.99,Regular
18395551,2013-10-31 00:00:00,28,NULL,3503,367,21,93,270,1,1.5545,5.99,Regular
21897565,2013-10-31 00:00:00,34,4998012,3503,367,21,93,270,1,1.5535,5.99,Regular
21897585,2013-10-31 00:00:00,34,4997983,3503,367,21,93,270,1,1.5535,5.99,Regular
211779,2013-10-31 00:00:00,5,1529565,3503,367,21,93,270,1,1.5547,5.99,Regular
637676,2013-10-31 00:00:00,6,237091,3503,367,21,93,270,3,1.5495,5.99,Regular
2016067,2013-10-31 00:00:00,7,5414169,3503,367,21,93,270,1,1.5532,5.99,Regular
7200996,2013-10-31 00:00:00,12,1386386,3503,367,21,93,270,1,1.5463,5.99,Regular
8897636,2013-10-31 00:00:00,15,12088,3503,367,21,93,270,2,1.5422,5.99,Regular
10928237,2013-11-01 00:00:00,17,2148913,3503,367,21,93,270,1,1.5536,5.99,Regular
12142321,2013-11-01 00:00:00,20,2950098,3503,367,21,93,270,1,1.537,5.99,Regular
14032637,2013-11-01 00:00:00,22,3304028,3503,367,21,93,270,5,1.5403,4.79,Regular
16400792,2013-11-01 00:00:00,25,3891195,3503,367,21,93,270,1,1.5488,5.99,Regular
17755647,2013-11-01 00:00:00,27,4260946,3503,367,21,93,270,1,1.5459,5.99,Regular
17223617,2013-11-01 00:00:00,26,4099394,3503,367,21,93,270,1,1.5503,5.99,Regular
18395869,2013-11-01 00:00:00,28,4335840,3503,367,21,93,270,1,1.5472,5.99,Regular
18395739,2013-11-01 00:00:00,28,4367283,3503,367,21,93,270,1,1.5545,5.99,Regular
20932858,2013-11-01 00:00:00,33,5648607,3503,367,21,93,270,1,1.5482,5.99,Regular
25042181,2013-11-01 00:00:00,39,NULL,3503,367,21,93,270,1,1.5467,5.99,Regular
641481,2013-11-01 00:00:00,6,147473,3503,367,21,93,270,1,1.5495,5.99,Regular
2018193,2013-11-01 00:00:00,7,375179,3503,367,21,93,270,1,1.5532,5.99,Regular
2018051,2013-11-01 00:00:00,7,375231,3503,367,21,93,270,1,1.5532,5.99,Regular
2017659,2013-11-01 00:00:00,7,429100,3503,367,21,93,270,1,1.5532,5.99,Regular
2017493,2013-11-01 00:00:00,7,433823,3503,367,21,93,270,1,1.5532,5.99,Regular
2016547,2013-11-01 00:00:00,7,566975,3503,367,21,93,270,1,1.5532,5.99,Regular
5453153,2013-11-01 00:00:00,10,1094709,3503,367,21,93,270,1,1.5489,5.99,Regular
5451038,2013-11-01 00:00:00,10,1082789,3503,367,21,93,270,1,1.5489,5.99,Regular
6438654,2013-11-01 00:00:00,11,1231519,3503,367,21,93,270,1,1.5525,5.99,Regular
7202242,2013-11-01 00:00:00,12,1408462,3503,367,21,93,270,1,1.5463,5.99,Regular
8901186,2013-11-01 00:00:00,15,1703441,3503,367,21,93,270,1,1.5422,5.99,Regular
8901471,2013-11-01 00:00:00,15,5735642,3503,367,21,93,270,1,1.5422,5.99,Regular
8900471,2013-11-01 00:00:00,15,1849146,3503,367,21,93,270,1,1.5422,5.99,Regular
8899005,2013-11-01 00:00:00,15,3596947,3503,367,21,93,270,1,1.5422,5.99,Regular
14761420,2013-11-02 00:00:00,23,3569727,3503,367,21,93,270,1,1.5542,5.99,Regular
15575216,2013-11-02 00:00:00,24,3732452,3503,367,21,93,270,1,1.5529,5.99,Regular
15574619,2013-11-02 00:00:00,24,3844273,3503,367,21,93,270,1,1.5529,5.99,Regular
15574536,2013-11-02 00:00:00,24,3670146,3503,367,21,93,270,1,1.5529,5.99,Regular
16404836,2013-11-02 00:00:00,25,3969508,3503,367,21,93,270,1,1.5488,5.99,Regular
17756237,2013-11-02 00:00:00,27,5694417,3503,367,21,93,270,4,1.5459,5.99,Regular
18841908,2013-11-02 00:00:00,29,5633064,3503,367,21,93,270,1,1.5616,5.99,Regular
21904556,2013-11-02 00:00:00,34,5102038,3503,367,21,93,270,1,1.5535,5.99,Regular
21905354,2013-11-02 00:00:00,34,5032442,3503,367,21,93,270,1,1.5535,5.99,Regular
24633103,2013-11-02 00:00:00,38,NULL,3503,367,21,93,270,1,1.5408,5.99,Regular
25045398,2013-11-02 00:00:00,39,5507936,3503,367,21,93,270,1,1.5467,5.99,Regular
25045258,2013-11-02 00:00:00,39,2354564,3503,367,21,93,270,1,1.5467,5.99,Regular
645113,2013-11-02 00:00:00,6,181171,3503,367,21,93,270,1,1.5495,5.99,Regular
2020047,2013-11-02 00:00:00,7,566998,3503,367,21,93,270,1,1.5532,5.99,Regular
2019679,2013-11-02 00:00:00,7,4963958,3503,367,21,93,270,1,1.5532,5.99,Regular
4424902,2013-11-02 00:00:00,9,893023,3503,367,21,93,270,1,1.5437,5.99,Regular
4424812,2013-11-02 00:00:00,9,1006075,3503,367,21,93,270,1,1.5437,5.99,Regular
4425872,2013-11-02 00:00:00,9,915057,3503,367,21,93,270,1,1.5437,5.99,Regular
4426290,2013-11-02 00:00:00,9,1056147,3503,367,21,93,270,1,1.5437,5.99,Regular
4424074,2013-11-02 00:00:00,9,NULL,3503,367,21,93,270,2,1.5437,5.99,Regular
5456203,2013-11-02 00:00:00,10,1089695,3503,367,21,93,270,1,1.5489,5.99,Regular
5455636,2013-11-02 00:00:00,10,5641,3503,367,21,93,270,1,1.5489,5.99,Regular
6441716,2013-11-02 00:00:00,11,NULL,3503,367,21,93,270,1,1.5525,5.99,Regular
8905033,2013-11-02 00:00:00,15,1924033,3503,367,21,93,270,1,1.5422,5.99,Regular
10932698,2013-11-03 00:00:00,17,299861,3503,367,21,93,270,1,1.5536,5.99,Regular
12149571,2013-11-03 00:00:00,20,2792949,3503,367,21,93,270,1,1.537,5.99,Regular
13078490,2013-11-03 00:00:00,21,3227784,3503,367,21,93,270,1,1.5553,5.99,Regular
13077152,2013-11-03 00:00:00,21,5857287,3503,367,21,93,270,1,1.5553,5.99,Regular
14765893,2013-11-03 00:00:00,23,3500042,3503,367,21,93,270,1,1.5542,5.99,Regular
16407332,2013-11-03 00:00:00,25,NULL,3503,367,21,93,270,1,1.5488,5.99,Regular
16406623,2013-11-03 00:00:00,25,NULL,3503,367,21,93,270,1,1.5488,5.99,Regular
16406917,2013-11-03 00:00:00,25,NULL,3503,367,21,93,270,1,1.5488,5.99,Regular
20037184,2013-11-03 00:00:00,31,4762256,3503,367,21,93,270,1,1.5549,5.99,Regular
21907382,2013-11-03 00:00:00,34,4997325,3503,367,21,93,270,1,1.5535,5.99,Regular
23662819,2013-11-03 00:00:00,36,3503149,3503,367,21,93,270,1,1.524,5.99,Regular
25738170,2013-11-03 00:00:00,40,3664932,3503,367,21,93,270,1,1.5645,5.99,Regular
648916,2013-11-03 00:00:00,6,5848893,3503,367,21,93,270,1,1.5495,5.99,Regular
7206962,2013-11-03 00:00:00,12,1395455,3503,367,21,93,270,1,1.5463,5.99,Regular
8909415,2013-11-03 00:00:00,15,1807921,3503,367,21,93,270,1,1.5422,5.99,Regular
10254916,2013-11-04 00:00:00,16,2037478,3503,367,21,93,270,1,1.5532,5.99,Regular
10255496,2013-11-04 00:00:00,16,2053741,3503,367,21,93,270,1,1.5532,5.99,Regular
12152062,2013-11-04 00:00:00,20,2767213,3503,367,21,93,270,1,1.537,5.99,Regular
14038926,2013-11-04 00:00:00,22,3308255,3503,367,21,93,270,1,1.5403,5.99,Regular
18399618,2013-11-04 00:00:00,28,4367357,3503,367,21,93,270,1,1.5472,5.99,Regular
18845586,2013-11-04 00:00:00,29,4416788,3503,367,21,93,270,1,1.5616,5.99,Regular
19471545,2013-11-04 00:00:00,30,5616239,3503,367,21,93,270,1,1.5558,5.99,Regular
21908598,2013-11-04 00:00:00,34,5003411,3503,367,21,93,270,2,1.5535,5.99,Regular
25049378,2013-11-04 00:00:00,39,5534622,3503,367,21,93,270,1,1.5467,5.99,Regular
5459789,2013-11-04 00:00:00,10,7495,3503,367,21,93,270,1,1.5489,5.99,Regular
5460700,2013-11-04 00:00:00,10,1166711,3503,367,21,93,270,1,1.5489,5.99,Regular
7770780,2013-11-04 00:00:00,13,1531670,3503,367,21,93,270,1,1.5555,5.99,Regular
8912100,2013-11-04 00:00:00,15,NULL,3503,367,21,93,270,1,1.5422,5.99,Regular
8372665,2013-11-04 00:00:00,14,1082237,3503,367,21,93,270,1,1.5545,5.99,Regular
10257504,2013-11-05 00:00:00,16,479868,3503,367,21,93,270,1,1.5532,5.99,Regular
10937226,2013-11-05 00:00:00,17,260637,3503,367,21,93,270,1,1.545,5.99,Regular
12154665,2013-11-05 00:00:00,20,2766517,3503,367,21,93,270,1,1.537,5.99,Regular
13084895,2013-11-05 00:00:00,21,16563,3503,367,21,93,270,1,1.5512,5.99,Regular
15581994,2013-11-05 00:00:00,24,3800670,3503,367,21,93,270,1,1.5529,5.99,Regular
17229811,2013-11-05 00:00:00,26,5803604,3503,367,21,93,270,1,1.5503,5.99,Regular
17764804,2013-11-05 00:00:00,27,5666871,3503,367,21,93,270,1,1.5459,5.99,Regular
18847932,2013-11-05 00:00:00,29,21119,3503,367,21,93,270,1,1.5616,5.99,Regular
