order_id,customer_id,product_id,product_cnt,order_amt,shipping_type_id,order_time
302,2044,12,5,1104.25,1,20170504 14:21:41
303,6979,14,9,4890.24,3,20170504 14:50:52
304,636,6,10,54.9,2,20170504 14:06:38
305,3623,16,2,84.24,3,20170504 15:44:05
1,4452,10,3,510.81,2,2017-05-01 00:55:00
2,3511,7,7,20.72,2,2017-05-01 00:34:40
3,3170,17,7,690.48,2,2017-05-01 00:32:50
4,399,16,3,126.36,1,2017-05-01 01:20:03
5,5758,12,4,883.4,2,2017-05-01 01:03:17
6,5968,6,3,16.47,2,2017-05-01 01:34:00
7,5523,5,5,402.65,2,2017-05-01 02:19:52
8,4408,7,10,29.6,2,2017-05-01 03:25:02
9,5335,10,8,1362.16,3,2017-05-01 03:28:37
10,5122,15,3,2233.11,1,2017-05-01 03:55:00
11,6952,6,10,54.9,2,2017-05-01 03:56:45
12,2809,13,3,545.94,3,2017-05-01 03:02:04
13,582,4,3,216.54,2,2017-05-01 03:57:13
14,2384,3,5,282.6,3,2017-05-01 04:50:47
15,5326,9,8,114.88,3,2017-05-01 04:33:16
16,366,4,7,505.26,2,2017-05-01 05:10:14
17,6118,5,5,,2,2017-05-01 05:04:31
18,1072,13,2,363.96,2,2017-05-01 05:46:41
19,5607,8,2,19.14,1,2017-05-01 05:38:48
20,3018,8,1,9.57,3,2017-05-01 05:45:28
21,38,16,1,42.12,3,2017-05-01 06:27:29
22,2526,17,3,295.92,1,2017-05-01 06:24:05
23,5735,8,7,66.99,3,2017-05-01 06:57:30
24,6287,12,5,1104.25,1,2017-05-01 06:28:22
25,4898,11,3,101.7,1,2017-05-01 07:58:02
26,2280,6,7,38.43,3,2017-05-01 07:02:09
27,4436,17,3,295.92,1,2017-05-01 07:35:00
28,3431,17,1,98.64,1,2017-05-01 08:25:15
29,3213,10,1,170.27,1,2017-05-01 08:44:03
30,2220,17,10,986.4,2,2017-05-01 08:06:38
31,6903,3,8,452.16,1,2017-05-01 08:02:46
32,4944,5,7,563.71,2,2017-05-01 08:32:51
33,1421,7,6,17.76,3,2017-05-01 08:51:13
34,6422,16,7,294.84,1,2017-05-01 09:52:39
35,6158,11,7,237.3,1,2017-05-01 09:55:40
36,7088,6,8,43.92,1,2017-05-01 09:38:07
37,3563,12,10,2208.5,3,2017-05-01 09:01:00
38,5574,1,1,25.83,3,2017-05-01 10:23:50
39,4353,10,5,851.35,2,2017-05-01 11:51:36
40,3395,9,3,43.08,3,2017-05-01 11:42:04
41,2832,14,2,1086.72,1,2017-05-01 11:19:13
42,1819,7,8,23.68,1,2017-05-01 12:47:49
43,5729,7,5,14.8,2,2017-05-01 12:32:37
44,3385,3,10,565.2,3,2017-05-01 12:17:57
45,5787,1,5,129.15,1,2017-05-01 12:48:57
46,3821,16,4,168.48,3,2017-05-01 13:28:32
47,5567,11,4,135.6,3,2017-05-01 13:27:20
48,5341,4,4,288.72,3,2017-05-01 13:32:59
49,799,1,2,51.66,2,2017-05-01 13:46:41
50,101,15,6,4466.22,3,2017-05-01 13:13:38
51,4815,11,4,135.6,3,2017-05-01 14:43:42
52,1472,1,2,51.66,3,2017-05-01 14:30:31
53,6918,9,10,143.6,3,2017-05-01 14:33:19
54,3283,4,8,577.44,1,2017-05-01 14:28:50
55,6704,1,2,51.66,1,2017-05-01 15:40:14
56,777,9,4,57.44,3,2017-05-01 15:54:01
57,2184,17,5,493.2,2,2017-05-01 16:54:38
58,2798,6,7,38.43,2,2017-05-01 16:40:20
59,5599,16,6,252.72,2,2017-05-01 16:25:21
60,6537,12,9,1987.65,2,2017-05-01 17:30:27
61,3023,14,1,543.36,1,2017-05-01 17:09:17
62,5391,4,9,649.62,1,2017-05-01 17:19:57
63,6618,11,7,237.3,3,2017-05-01 17:23:09
64,4512,10,6,1021.62,2,2017-05-01 17:50:24
65,3166,11,4,135.6,1,2017-05-01 17:38:26
66,4252,17,8,789.12,2,2017-05-01 18:02:22
67,3562,1,1,25.83,1,2017-05-01 18:09:42
68,3923,4,3,216.54,1,2017-05-01 18:43:05
69,3531,2,6,253.5,1,2017-05-01 18:45:33
70,1087,3,9,508.68,2,2017-05-01 18:10:27
71,2949,17,5,493.2,1,2017-05-01 19:34:02
72,6966,1,5,129.15,2,2017-05-01 19:50:11
73,4650,3,5,282.6,1,2017-05-01 19:17:04
74,4838,14,4,2173.44,2,2017-05-01 19:49:45
75,1182,6,7,38.43,3,2017-05-01 20:28:24
76,6112,14,2,1086.72,1,2017-05-01 20:01:51
77,4341,15,4,2977.48,3,2017-05-01 20:21:16
78,2181,11,1,33.9,2,2017-05-01 21:53:31
79,5351,5,9,724.77,3,2017-05-01 21:50:28
80,5633,17,8,789.12,1,2017-05-01 21:59:08
81,3319,2,6,253.5,2,2017-05-01 21:43:20
82,8200,5,10,805.3,2,2017-05-01 22:43:49
83,1513,14,8,4346.88,1,2017-05-01 22:02:46
84,6280,8,10,95.7,3,2017-05-01 22:15:56
85,1387,4,2,144.36,2,2017-05-01 23:00:26
86,3668,15,5,3721.85,3,2017-05-01 23:52:48
87,1250,14,1,543.36,1,2017-05-02 00:40:00
88,313,6,7,38.43,1,2017-05-02 00:38:18
89,1440,5,5,402.65,1,2017-05-02 01:09:58
90,6295,10,2,340.54,1,2017-05-02 01:24:16
91,4767,14,5,2716.8,2,2017-05-02 01:44:20
92,4952,6,3,16.47,2,2017-05-02 01:29:32
93,8312,7,10,29.6,2,2017-05-02 01:01:00
94,6548,7,1,2.96,2,2017-05-02 02:30:30
