日期,访问来源,终端类型,区域,访问人数
2017-7-10,直接访问,macOS,北京,278
2017-7-10,直接访问,macOS,上海,326
2017-7-10,直接访问,macOS,天津,33
2017-7-10,直接访问,macOS,重庆,62
2017-7-10,直接访问,macOS,安徽,48
2017-7-10,直接访问,macOS,福建,110
2017-7-10,直接访问,macOS,甘肃,42
2017-7-10,直接访问,macOS,广东,145
2017-7-10,直接访问,macOS,广西,49
2017-7-10,直接访问,macOS,贵州,33
2017-7-10,直接访问,macOS,海南,60
2017-7-10,直接访问,macOS,河北,77
2017-7-10,直接访问,macOS,河南,68
2017-7-10,直接访问,macOS,黑龙江,85
2017-7-10,直接访问,macOS,湖北,55
2017-7-10,直接访问,macOS,湖南,59
2017-7-10,直接访问,macOS,吉林,71
2017-7-10,直接访问,macOS,江苏,141
2017-7-10,直接访问,macOS,江西,55
2017-7-10,直接访问,macOS,辽宁,114
2017-7-10,直接访问,macOS,内蒙古,102
2017-7-10,直接访问,macOS,宁夏,57
2017-7-10,直接访问,macOS,青海,56
2017-7-10,直接访问,macOS,山东,112
2017-7-10,直接访问,macOS,山西,73
2017-7-10,直接访问,macOS,陕西,59
2017-7-10,直接访问,macOS,四川,56
2017-7-10,直接访问,macOS,西藏,47
2017-7-10,直接访问,macOS,新疆,62
2017-7-10,直接访问,macOS,云南,38
2017-7-10,直接访问,macOS,浙江,136
2017-7-10,直接访问,macOS,台湾,14
2017-7-10,直接访问,macOS,香港,22
2017-7-10,直接访问,macOS,澳门,4
2017-7-10,直接访问,Linux,北京,88
2017-7-10,直接访问,Linux,上海,92
2017-7-10,直接访问,Linux,天津,12
2017-7-10,直接访问,Linux,重庆,20
2017-7-10,直接访问,Linux,安徽,14
2017-7-10,直接访问,Linux,福建,31
2017-7-10,直接访问,Linux,甘肃,13
2017-7-10,直接访问,Linux,广东,42
2017-7-10,直接访问,Linux,广西,18
2017-7-10,直接访问,Linux,贵州,11
2017-7-10,直接访问,Linux,海南,22
2017-7-10,直接访问,Linux,河北,24
2017-7-10,直接访问,Linux,河南,20
2017-7-10,直接访问,Linux,黑龙江,29
2017-7-10,直接访问,Linux,湖北,20
2017-7-10,直接访问,Linux,湖南,21
2017-7-10,直接访问,Linux,吉林,24
2017-7-10,直接访问,Linux,江苏,45
2017-7-10,直接访问,Linux,江西,20
2017-7-10,直接访问,Linux,辽宁,39
2017-7-10,直接访问,Linux,内蒙古,33
2017-7-10,直接访问,Linux,宁夏,17
2017-7-10,直接访问,Linux,青海,18
2017-7-10,直接访问,Linux,山东,36
2017-7-10,直接访问,Linux,山西,26
2017-7-10,直接访问,Linux,陕西,19
2017-7-10,直接访问,Linux,四川,18
2017-7-10,直接访问,Linux,西藏,19
2017-7-10,直接访问,Linux,新疆,23
2017-7-10,直接访问,Linux,云南,16
2017-7-10,直接访问,Linux,浙江,56
2017-7-10,直接访问,Linux,台湾,4
2017-7-10,直接访问,Linux,香港,8
2017-7-10,直接访问,Linux,澳门,1
2017-7-10,直接访问,Windows,北京,479
2017-7-10,直接访问,Windows,上海,649
2017-7-10,直接访问,Windows,天津,61
2017-7-10,直接访问,Windows,重庆,140
2017-7-10,直接访问,Windows,安徽,108
2017-7-10,直接访问,Windows,福建,199
2017-7-10,直接访问,Windows,甘肃,72
2017-7-10,直接访问,Windows,广东,254
2017-7-10,直接访问,Windows,广西,95
